"name","country","pop"
"Ploiesti","Romania","228851"
"Lille","France","228328"
"Ciudad Lineal","Spain","228171"
"Bexley","United Kingdom","228000"
"Kremenchuk","Ukraine","227494"
"Sosnowiec","Poland","227295"
"Staryy Oskol","Russian Federation","226977"
"Neue Neustadt","Germany","226851"
"Radom","Poland","226794"
"Groznyy","Russian Federation","226100"
"Sector 1","Romania","225453"
"Oviedo","Spain","224005"
"Santa Cruz de Tenerife","Spain","222417"
"Graz","Austria","222326"
"Shakhty","Russian Federation","221312"
"Blagoveshchensk","Russian Federation","221296"
"Banja Luka","Bosnia and Herzegovina","221106"
"Babruysk","Belarus","220517"
"Fuencarral-El Pardo","Spain","220085"
"Messina","Italy","219948"
"Badalona","Spain","219547"
"Oberhausen","Germany","219176"
"Verona","Italy","219103"
"Prokop'yevsk","Russian Federation","219000"
"Rybinsk","Russian Federation","216724"
"Vykhino-Zhulebino","Russian Federation","216000"
"Freiburg","Germany","215966"
"Northampton","United Kingdom","215963"
"Zelenograd","Russian Federation","215727"
"Archway","United Kingdom","215667"
"Biysk","Russian Federation","215430"
"Novi Sad","Serbia","215400"
"Velikiy Novgorod","Russian Federation","215062"
"Centralniy","Russian Federation","214625"
"Lutsk","Ukraine","213661"
"Bergen","Norway","213585"
"Braila","Romania","213569"
"Norwich","United Kingdom","213166"
"Mokotow","Poland","212670"
"Luebeck","Germany","212207"
"Cartagena","Spain","211996"
"Terrassa","Spain","210941"
"Eindhoven","Netherlands","209620"
"Rennes","France","209375"
"Torun","Poland","208717"
"Kielce","Poland","208598"
"Jerez de la Frontera","Spain","207532"
"Oradea","Romania","206614"
"Sabadell","Spain","206493"
"Mostoles","Spain","206478"
"Linz","Austria","204846"
"Alcala de Henares","Spain","204574"
"Ivano-Frankivsk","Ukraine","204200"
"Debrecen","Hungary","204124"
"Padova","Italy","203725"
"Erfurt","Germany","203254"
"Vasyl'evsky Ostrov","Russian Federation","203058"
"Tampere","Finland","202687"
"Harburg","Germany","202571"
"Pskov","Russian Federation","201990"
"Favoriten","Austria","201882"
"Nicosia","Cyprus","200452"
"Charleroi","Belgium","200132"
"Severnyy","Russian Federation","200000"
"Tilburg","Netherlands","199613"
"Balakovo","Russian Federation","199572"
"Armavir","Russian Federation","199548"
"Bila Tserkva","Ukraine","199163"
"Dudley","United Kingdom","199059"
"Hagen","Germany","198972"
"Gliwice","Poland","198835"
"Pamplona","Spain","198491"
"Rostock","Germany","198293"
"Fuenlabrada","Spain","197836"
"Aberdeen","United Kingdom","196670"
"Reims","France","196565"
"Engel's","Russian Federation","196011"
"Burgas","Bulgaria","195966"
"Kassel","Germany","194501"
"Severodvinsk","Russian Federation","194292"
"Portsmouth","United Kingdom","194150"
"Newcastle upon Tyne","United Kingdom","192382"
"Klaipeda","Lithuania","192307"
"Zabrze","Poland","192177"
"Zlatoust","Russian Federation","191366"
"Cork","Ireland","190384"
"Vantaa","Finland","190058"
"Syzran'","Russian Federation","189338"
"Bytom","Poland","189186"
"Almeria","Spain","188810"
"Praga Poludnie","Poland","187845"
"Sutton","United Kingdom","187600"
"Petropavlovsk-Kamchatsky","Russian Federation","187282"
"Trieste","Italy","187056"
"Donaustadt","Austria","187007"
"Leganes","Spain","186066"
"Le Havre","France","185972"
"Swindon","United Kingdom","185609"
"Dun Laoghaire","Ireland","185400"
"San Sebastian","Spain","185357"
"Hamm","Germany","185327"
"Mainz","Germany","184997"
"Brescia","Italy","184826"
"Geneva","Switzerland","183981"
"Cergy-Pontoise","France","183430"
"Korolyov","Russian Federation","183402"
